model,language,prompt,p_flip
Claude-Opus-4,EN,COT,0.228571429
Claude-Opus-4,EN,ZS,0.152380952
Claude-Opus-4,ES,COT,0.19047619
Claude-Opus-4,ES,ZS,0.142857143
DeepSeek-V3-685B,EN,COT,0.171428571
DeepSeek-V3-685B,EN,ZS,0.180952381
DeepSeek-V3-685B,ES,COT,0.285714286
DeepSeek-V3-685B,ES,ZS,0.238095238
GPT-4o,EN,COT,0.323809524
GPT-4o,EN,ZS,0.276190476
GPT-4o,ES,COT,0.342857143
GPT-4o,ES,ZS,0.314285714
GPT-4o-mini,EN,COT,0.352380952
GPT-4o-mini,EN,ZS,0.228571429
GPT-4o-mini,ES,COT,0.361904762
GPT-4o-mini,ES,ZS,0.361904762
Grok-3,EN,COT,0.219047619
Grok-3,EN,ZS,0.2
Grok-3,ES,COT,0.20952381
Grok-3,ES,ZS,0.285714286
Grok-4,EN,COT,0.104761905
Grok-4,EN,ZS,0.095238095
Grok-4,ES,COT,0.114285714
Grok-4,ES,ZS,0.104761905
LLaMA-3.3-70B,EN,COT,0.276190476
LLaMA-3.3-70B,EN,ZS,0.238095238
LLaMA-3.3-70B,ES,COT,0.295238095
LLaMA-3.3-70B,ES,ZS,0.304761905
o3-mini,EN,COT,0.076190476
o3-mini,EN,ZS,0.085714286
o3-mini,ES,COT,0.142857143
o3-mini,ES,ZS,0.104761905
